epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,99.8111,0.9325,0.5509,0.93798,0.99692,0.98361,0.98668,0.70215,1.09399,0.54812,0.95371,0.0011882,0.0011882,0.0011882
43,101.992,0.98707,0.60617,0.95652,0.99508,0.98361,0.98738,0.7579,0.91682,0.52424,0.91036,0.0011684,0.0011684,0.0011684
44,104.184,1.0001,0.58142,0.97673,0.99622,0.98361,0.98775,0.7057,0.99083,0.52729,0.90291,0.0011486,0.0011486,0.0011486
45,106.369,1.00963,0.59118,0.95684,0.99755,0.98361,0.98802,0.71613,0.93247,0.55286,0.90405,0.0011288,0.0011288,0.0011288
46,108.56,0.95031,0.57674,0.94955,0.99775,0.98361,0.98726,0.73228,0.93678,0.52122,0.89488,0.001109,0.001109,0.001109
47,110.738,0.99639,0.55691,0.94498,0.99874,0.98361,0.98889,0.7584,0.97934,0.53379,0.92485,0.0010892,0.0010892,0.0010892
48,112.92,0.96968,0.58224,0.96395,0.998,0.98361,0.98713,0.72878,0.97658,0.53368,0.94682,0.0010694,0.0010694,0.0010694
49,115.092,0.96519,0.56904,0.9685,0.99676,0.98361,0.9872,0.75621,0.91225,0.47945,0.88088,0.0010496,0.0010496,0.0010496
50,117.264,0.93661,0.54011,0.96337,0.99756,0.98361,0.98704,0.73428,0.98506,0.50396,0.89455,0.0010298,0.0010298,0.0010298
51,119.445,0.93789,0.57061,0.94692,0.99818,0.98361,0.9876,0.71004,1.00486,0.51079,0.91767,0.00101,0.00101,0.00101
52,121.596,0.96888,0.55692,0.94458,0.99563,0.98361,0.98988,0.74457,0.96818,0.47538,0.90665,0.0009902,0.0009902,0.0009902
53,123.786,0.92727,0.53469,0.9396,0.98313,0.98361,0.98877,0.73007,1.00002,0.49656,0.89859,0.0009704,0.0009704,0.0009704
54,125.987,0.91919,0.55189,0.92902,0.99143,0.98361,0.98756,0.75105,0.89687,0.50313,0.87338,0.0009506,0.0009506,0.0009506
55,128.154,0.88875,0.53506,0.92121,0.99756,0.98361,0.98827,0.73552,0.95344,0.48825,0.888,0.0009308,0.0009308,0.0009308
56,130.329,0.90394,0.51999,0.92696,0.99801,0.98361,0.98839,0.72344,1.0119,0.48167,0.898,0.000911,0.000911,0.000911
57,132.49,0.93163,0.5454,0.95274,0.9986,0.98361,0.99001,0.75691,0.90161,0.46022,0.88026,0.0008912,0.0008912,0.0008912
58,134.663,0.9165,0.52215,0.93875,0.99853,0.98361,0.98982,0.73197,1.02439,0.48861,0.89962,0.0008714,0.0008714,0.0008714
59,136.844,0.92096,0.53317,0.94975,0.99837,0.98361,0.98963,0.78485,0.88521,0.46155,0.87929,0.0008516,0.0008516,0.0008516
60,139.035,0.89721,0.52134,0.9313,0.99869,0.98361,0.98946,0.78748,0.90753,0.48433,0.87949,0.0008318,0.0008318,0.0008318
61,141.235,0.88388,0.50528,0.92435,0.99895,0.98361,0.988,0.73033,0.98747,0.51638,0.90518,0.000812,0.000812,0.000812
62,143.391,0.86614,0.51619,0.9579,0.99873,0.98361,0.98836,0.7442,0.91101,0.48193,0.88827,0.0007922,0.0007922,0.0007922
63,145.564,0.90727,0.51046,0.93724,0.99886,0.98361,0.98911,0.74785,0.92465,0.45994,0.87911,0.0007724,0.0007724,0.0007724
64,147.719,0.90217,0.5238,0.94629,0.99888,0.98361,0.98836,0.76647,0.8874,0.44173,0.87869,0.0007526,0.0007526,0.0007526
65,149.881,0.90106,0.49931,0.92564,0.99894,0.98361,0.98957,0.75828,0.91414,0.46568,0.88369,0.0007328,0.0007328,0.0007328
66,152.054,0.90065,0.50237,0.93085,0.99892,0.98361,0.99038,0.76915,0.86959,0.46025,0.87051,0.000713,0.000713,0.000713
67,154.222,0.85689,0.48923,0.92364,0.99892,0.98361,0.99038,0.75431,0.93764,0.45527,0.8805,0.0006932,0.0006932,0.0006932
68,156.464,0.87362,0.51009,0.93041,0.9989,0.98361,0.99055,0.7635,0.91497,0.45838,0.87531,0.0006734,0.0006734,0.0006734
69,158.643,0.87589,0.49951,0.91788,0.99874,0.98361,0.99038,0.76207,0.89537,0.46369,0.87653,0.0006536,0.0006536,0.0006536
70,160.825,0.8202,0.46181,0.9157,0.99876,0.98361,0.98969,0.74322,0.91144,0.44257,0.86818,0.0006338,0.0006338,0.0006338
71,162.991,0.84463,0.47243,0.9174,0.99845,0.98361,0.98898,0.74983,0.9295,0.45088,0.8791,0.000614,0.000614,0.000614
72,165.183,0.84618,0.48945,0.9092,0.9982,0.98361,0.98842,0.76588,0.90108,0.4394,0.86824,0.0005942,0.0005942,0.0005942
73,167.351,0.84147,0.48818,0.91588,0.99849,0.98361,0.98877,0.74938,0.96444,0.4645,0.87235,0.0005744,0.0005744,0.0005744
74,169.52,0.87881,0.4932,0.92492,0.99835,0.98361,0.98798,0.74017,0.97697,0.4717,0.8818,0.0005546,0.0005546,0.0005546
75,171.695,0.82181,0.47742,0.89589,0.99819,0.98361,0.98849,0.75296,0.85818,0.44108,0.86919,0.0005348,0.0005348,0.0005348
76,173.878,0.81566,0.47595,0.8969,0.99805,0.98361,0.98845,0.76919,0.89421,0.45875,0.87267,0.000515,0.000515,0.000515
77,176.038,0.85149,0.47282,0.93481,0.99775,0.98361,0.98936,0.77204,0.88536,0.43931,0.87771,0.0004952,0.0004952,0.0004952
78,178.185,0.83196,0.47127,0.92043,0.9981,0.98361,0.98975,0.72696,1.00705,0.48975,0.89321,0.0004754,0.0004754,0.0004754
79,180.351,0.80996,0.46576,0.91805,0.99846,0.98361,0.98982,0.77628,0.88972,0.46288,0.87108,0.0004556,0.0004556,0.0004556
80,182.516,0.78196,0.44974,0.92353,0.99852,0.98361,0.98982,0.78388,0.92915,0.45554,0.87621,0.0004358,0.0004358,0.0004358
