epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21756,1.36988,3.50614,1.41477,0.0037,0.76055,0.44424,0.22969,1.0918,3.55847,1.31874,0.00023331,0.00023331,0.00023331
2,9.79116,0.99723,1.93357,1.11923,0.00532,0.64344,0.442,0.29359,0.95456,3.45108,1.24828,0.000473,0.000473,0.000473
3,12.7804,0.95513,1.62768,1.09786,0.99234,0.28132,0.7155,0.52314,1.00574,2.75425,1.17433,0.000707851,0.000707851,0.000707851
4,15.8238,0.95666,1.4313,1.10811,0.91488,0.31016,0.74661,0.52414,1.16835,2.62294,1.23394,0.000937863,0.000937863,0.000937863
5,18.6897,0.96903,1.35379,1.08531,0.65037,0.75244,0.94447,0.67646,1.05757,2.05129,1.1908,0.001067,0.001067,0.001067
6,21.5823,0.92473,1.23241,1.08054,0.86756,0.77111,0.95676,0.73211,0.97743,1.22012,1.15056,0.00105601,0.00105601,0.00105601
7,24.4365,0.90534,1.15003,1.05669,0.81412,0.87127,0.96442,0.71231,1.08357,1.18663,1.2618,0.00104501,0.00104501,0.00104501
8,27.2938,0.87047,1.09394,1.0412,0.74986,0.90988,0.95348,0.756,0.89536,1.14082,1.10872,0.00103401,0.00103401,0.00103401
9,30.153,0.85924,1.06847,1.04788,0.96017,0.97593,0.99051,0.77666,0.93781,0.87923,1.12182,0.00102301,0.00102301,0.00102301
10,33.0323,0.84441,0.99368,1.04442,0.9303,0.96882,0.99178,0.78419,0.82547,0.80665,1.06978,0.00101201,0.00101201,0.00101201
11,35.8644,0.86053,0.9742,1.02818,0.89244,0.87539,0.96414,0.77236,0.94342,0.99745,1.07093,0.00100101,0.00100101,0.00100101
12,38.7522,0.83084,0.94298,1.03101,0.98082,0.995,0.99301,0.83656,0.74307,0.64057,1.01209,0.000990012,0.000990012,0.000990012
13,41.7459,0.85316,0.90309,1.03273,0.92691,0.90568,0.95477,0.77429,0.82046,0.77071,1.07428,0.000979013,0.000979013,0.000979013
14,44.6309,0.85528,0.88546,1.01054,0.9494,0.99672,0.99301,0.80069,0.84238,0.61594,1.00209,0.000968014,0.000968014,0.000968014
15,47.5748,0.82006,0.8549,1.02475,0.98188,0.99572,0.99301,0.85186,0.7222,0.55905,0.97484,0.000957015,0.000957015,0.000957015
16,50.4683,0.78695,0.80399,1.00281,0.97122,0.99672,0.99301,0.82658,0.79111,0.58767,0.99838,0.000946016,0.000946016,0.000946016
17,53.3254,0.79969,0.77971,1.00003,0.98109,0.98983,0.99308,0.83323,0.84084,0.5922,1.05381,0.000935018,0.000935018,0.000935018
